dataset_size,workload,off_latency_ms,on_latency_ms,latency_overhead_pct,off_throughput,on_throughput,throughput_drop_pct
60000,bulk_insert,0.007084,0.035246,397.54,141162.12,28372.15,79.9
60000,update,0.315185,0.354817,12.57,3172.74,2818.35,11.17
60000,delete,0.3327,0.60332,81.34,3005.71,1657.5,44.86
120000,bulk_insert,0.008382,0.05005,497.11,119307.49,19980.17,83.25
120000,update,0.312961,0.428064,36.78,3195.29,2336.1,26.89
120000,delete,0.347969,0.686896,97.4,2873.82,1455.82,49.34
180000,bulk_insert,0.011188,0.073866,560.23,89381.35,13538.11,84.85
180000,update,0.349911,0.440011,25.75,2857.87,2272.67,20.48
180000,delete,0.323618,0.632014,95.3,3090.06,1582.24,48.8
300000,bulk_insert,0.008826,0.074502,744.12,113302.46,13422.37,88.15
300000,update,0.312739,0.463646,48.25,3197.56,2156.82,32.55
300000,delete,0.329357,0.769629,133.68,3036.22,1299.33,57.21
